query_id,query,rank,chunk_id,relevant_chunk_id,tfidf_score,dense_score,hybrid_score,is_relevant,helpful,latency,alpha
Q1,Technical Report Table 8: Statistical information of the datasets utilized in this paper. Dataset Na,1,355,355,0.1838809790396154,0.40908554196357727,0.8725124462025249,1,1,0.03407096862792969,0.7
Q1,Technical Report Table 8: Statistical information of the datasets utilized in this paper. Dataset Na,2,1392,355,0.1439826047779129,0.4136190414428711,0.8127408612070831,0,1,0.03407096862792969,0.7
Q1,Technical Report Table 8: Statistical information of the datasets utilized in this paper. Dataset Na,3,338,355,0.1439826047779129,0.4136190414428711,0.8127408612070831,0,1,0.03407096862792969,0.7
Q1,Technical Report Table 8: Statistical information of the datasets utilized in this paper. Dataset Na,4,1997,355,0.1093371550980558,0.44007813930511475,0.7872794577377681,0,1,0.03407096862792969,0.7
Q1,Technical Report Table 8: Statistical information of the datasets utilized in this paper. Dataset Na,5,699,355,0.03899123022734695,0.5176803469657898,0.7636137944971356,0,1,0.03407096862792969,0.7
Q2,Published as a conference paper at ICLR 2026 Figure 3: The overall framework of GraphRAG-Bench. It c,1,1137,1125,0.29232927715606916,0.6964766383171082,0.9833178552984141,0,0,0.03380775451660156,0.7
Q2,Published as a conference paper at ICLR 2026 Figure 3: The overall framework of GraphRAG-Bench. It c,2,1135,1125,0.2714462856323367,0.5475964546203613,0.8339609996329227,0,0,0.03380775451660156,0.7
Q2,Published as a conference paper at ICLR 2026 Figure 3: The overall framework of GraphRAG-Bench. It c,3,1016,1125,0.15844879400466397,0.6669870615005493,0.8279893015223044,0,0,0.03380775451660156,0.7
Q2,Published as a conference paper at ICLR 2026 Figure 3: The overall framework of GraphRAG-Bench. It c,4,1129,1125,0.24970867006865244,0.5276204347610474,0.7955690848090604,0,0,0.03380775451660156,0.7
Q2,Published as a conference paper at ICLR 2026 Figure 3: The overall framework of GraphRAG-Bench. It c,5,1069,1125,0.1709764191328801,0.5971612930297852,0.7795737989947107,0,0,0.03380775451660156,0.7
Q3,"and metadata- based approaches, which can be defined as follows: αi = a·scorekey(q, Fj)+(1−α)·maxθj∈",1,309,309,0.4287099317075597,0.48423856496810913,0.9743950836813298,1,1,0.05372762680053711,0.7
Q3,"and metadata- based approaches, which can be defined as follows: αi = a·scorekey(q, Fj)+(1−α)·maxθj∈",2,1334,309,0.01854897315966332,0.5054209232330322,0.7129800744343244,0,1,0.05372762680053711,0.7
Q3,"and metadata- based approaches, which can be defined as follows: αi = a·scorekey(q, Fj)+(1−α)·maxθj∈",3,1844,309,0.0380670753572222,0.47531887888908386,0.6902515440558593,0,1,0.05372762680053711,0.7
Q3,"and metadata- based approaches, which can be defined as follows: αi = a·scorekey(q, Fj)+(1−α)·maxθj∈",4,308,309,0.3182584648751262,0.3048170208930969,0.6802228795672403,0,1,0.05372762680053711,0.7
Q3,"and metadata- based approaches, which can be defined as follows: αi = a·scorekey(q, Fj)+(1−α)·maxθj∈",5,728,309,0.00287955288139388,0.48490530252456665,0.6772160345882359,0,1,0.05372762680053711,0.7
Q4,A Appendix A.1 Instructions A.1.1 Web Search Please write a passage to answer the question Question:,1,933,933,0.6703034767763589,0.44674867391586304,0.9999999876315127,1,1,0.049228668212890625,0.7
Q4,A Appendix A.1 Instructions A.1.1 Web Search Please write a passage to answer the question Question:,2,222,933,0.18182653341459842,0.35143938660621643,0.6623832210303,0,1,0.049228668212890625,0.7
Q4,A Appendix A.1 Instructions A.1.1 Web Search Please write a passage to answer the question Question:,3,659,933,0.22757247578663492,0.3324931859970093,0.659202624962474,0,1,0.049228668212890625,0.7
Q4,A Appendix A.1 Instructions A.1.1 Web Search Please write a passage to answer the question Question:,4,1355,933,0.23192818927479167,0.3146137595176697,0.6388294067096985,0,1,0.049228668212890625,0.7
Q4,A Appendix A.1 Instructions A.1.1 Web Search Please write a passage to answer the question Question:,5,1354,933,0.26857387035045593,0.2929324805736542,0.6281611615060205,0,1,0.049228668212890625,0.7
